cdf,request_e2e_time,replica
0.6,65.00595108376527,7
0.61,65.60558213862288,7
0.62,66.20521319348049,7
0.63,66.80484424833809,7
0.64,67.40447530319568,7
0.65,68.00410635805329,7
0.66,68.6037374129109,7
0.67,69.03785378037996,7
0.68,69.14094077307195,7
0.6900000000000001,69.24402776576393,7
0.7000000000000001,69.34711475845592,7
0.71,69.45020175114789,7
0.72,69.55328874383987,7
0.73,69.65637573653186,7
0.74,69.77760879948218,7
0.75,69.90791489756168,7
0.76,70.0382209956412,7
0.77,70.1685270937207,7
0.78,70.2988331918002,7
0.79,70.42913928987971,7
0.8,70.55944538795922,7
0.81,70.56990029454244,7
0.8200000000000001,70.58035520112564,7
0.8300000000000001,70.59081010770886,7
0.84,70.60126501429207,7
0.85,70.61171992087529,7
0.86,70.6221748274585,7
0.87,70.82710146621508,7
0.88,71.42097156931837,7
0.89,72.01484167242167,7
0.9,72.60871177552497,7
0.91,73.20258187862828,7
0.92,73.79645198173158,7
0.93,74.39032208483488,7
0.9400000000000001,74.93859154954544,7
0.9500000000000001,75.46406069505963,7
0.96,75.98952984057382,7
0.97,76.51499898608803,7
0.98,77.04046813160222,7
0.99,77.56593727711643,7
1.0,78.09140642263063,7
