sep=;
IO Type;Instance Type;Storage Type;Redundancy;Utilization;AWS Instance Type;Rate Unit;2025 IMR;2024 IMR;2025 Public Price;2024 Public Price;2025 Discount Vs. Public price;2024 Discount Vs. Public price;IMR YoY%;Public Price YoY%;Discount Rate YoY%
;m7g.8xlarge;;;On Demand;;Hrs;0.097800104;0.103311133;1.3056;1.3056;92.5091832108;92.0870762102;-5.3343999238;0;0.4583781112
;r6g.2xlarge;;;On Demand;;Hrs;0.036120347;0.035536386;0.4032;0.4032;91.0415806052;91.1864122024;1.6432762746;0;-0.1588302398
;x2i.large;;;On Demand;;Hrs;0.01190954;0.021200514;;;;;-43.8242865244;;
;r7gd.4xlarge;;;On Demand;;Hrs;0.08570537;0.083122915;1.0886;1.0886;92.127009921;92.3642370935;3.1067907087;0;-0.2568387722
;c7a.12xlarge;;;On Demand;;Hrs;0.15451506;0.164430677;2.46336;2.46336;93.7274673617;93.3249432888;-6.0302719547;0;0.4313145647
;f1.2xlarge;;;On Demand;;Hrs;0.460606742;0.21465788;1.65;1.65;72.0844398788;86.9904315152;114.5771410768;0;-17.1352082945
;r7iz.8xlarge;;;On Demand;;Hrs;0.204316894;0.227978311;2.976;2.976;93.1345129704;92.3394384745;-10.37880178;0;0.8610345796
;c6gd.4xlarge;;;On Demand;;Hrs;0.051309598;0.053271519;0.6144;0.6144;91.6488284505;91.3295053711;-3.6828703908;0;0.3496384636
;m7g.xlarge;;;On Demand;;Hrs;0.012225013;0.012913892;0.1632;0.1632;92.5091832108;92.0870759804;-5.3344026727;0;0.4583783619
;r6in.24xlarge;;;On Demand;;Hrs;0.606087465;0.690495409;8.36784;8.36784;92.7569424726;91.7482240459;-12.2242585396;0;1.0994419098
;m6a.24xlarge;;;On Demand;;Hrs;0.334974674;0.334747562;4.1472;4.1472;91.9228714796;91.9283477527;0.0678457518;0;-0.0059571103
;r7iz.2xlarge;;;On Demand;;Hrs;0.051079223;0.056994578;0.744;0.744;93.1345130376;92.3394384409;-10.3788030504;0;0.8610346891
;g6.8xlarge;;;On Demand;;Hrs;0.41488061;0.439023551;2.0144;2.0144;79.4042588364;78.205741114;-5.4992359624;0;1.5325188475
;c8g.16xlarge;;;On Demand;;Hrs;0.181291481;0.194048546;2.55232;2.55232;92.8969925009;92.3971701824;-6.5741616018;0;0.5409498121
;c5.large;;;On Demand;;Hrs;0.006698228;0.006452175;0.085;0.085;92.1197317647;92.4092058824;3.8134892497;0;-0.3132524676
;t4i.large;;;On Demand;;Hrs;0.008157303;;;;;;;;
;inf1.xlarge;;;On Demand;;Hrs;0.065250579;0.070540865;0.228;0.228;71.381325;69.0610241228;-7.4996046618;0;3.3597834765
;x2iezn.8xlarge;;;On Demand;;Hrs;0.38560543;0.420336087;6.672;6.672;94.2205421163;93.699998696;-8.2625922623;0;0.5555426121
;c6a.4xlarge;;;On Demand;;Hrs;0.05253512;0.051617397;0.612;0.612;91.4158300654;91.5657848039;1.7779335134;0;-0.1637672181
;i3.xlarge;;;On Demand;;Hrs;0.044930318;0.051150977;0.312;0.312;85.5992570513;83.6054560897;-12.1613688826;0;2.3847737395
;m7a.2xlarge;;;On Demand;;Hrs;0.027356265;0.029621133;0.46368;0.46368;94.1001843944;93.6117294255;-7.6461221115;0;0.5217882117
;r8g.medium;;;On Demand;;Hrs;0.004515043;0.005707198;0.05891;0.05891;92.3356934307;90.312004753;-20.8886217019;0;2.2407748374
;m5ad.16xlarge;;;On Demand;;Hrs;0.216252999;0.348982523;3.296;3.296;93.4389260012;89.4119380158;-38.0332868417;0;4.5038594116
;r7i.xlarge;;;On Demand;;Hrs;0.020182884;0.020590663;0.2646;0.2646;92.3723038549;92.2181923658;-1.9804073332;0;0.1671161461
